CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
Costa Rica,416,,2,,11,403,13,82,0.4,3845,755
Cyprus,396,,11,,28,357,11,328,9,9447,7825
Uruguay,386,,4,,86,296,13,111,1,4786,1378
Taiwan,355,7,5,,50,300,,15,0.2,35442,1488
Belarus,351,,4,,53,294,11,37,0.4,32000,3386
Albania,332,28,18,1,99,215,7,115,6,2247,781
Réunion,321,,,,40,281,3,359,,,
Jordan,310,,5,,58,247,5,30,0.5,239,23
Burkina Faso,302,,16,,50,236,,14,0.8,,
Afghanistan,299,18,7,1,10,282,,8,0.2,,
Oman,277,25,1,,61,215,3,54,0.2,,
Cuba,269,,6,,15,248,8,24,0.5,3342,295
Honduras,264,42,15,,3,246,10,27,2,,
San Marino,251,,32,,26,193,13,7397,943,586,17270
Uzbekistan,241,14,2,,25,214,8,7,0.06,,
Vietnam,239,,,,90,149,3,2,,75458,775
Channel Islands,232,,4,,13,215,,1334,23,,
Ivory Coast,218,,1,,19,198,,8,0.04,,
Malta,213,11,,,2,211,2,482,,9703,21975
Nigeria,210,,4,,25,181,2,1,0.02,,
Senegal,207,,1,,66,140,1,12,0.06,195,12
Ghana,205,,5,,31,169,2,7,0.2,,
Palestine,205,11,1,,21,183,,40,0.2,7553,1481
Montenegro,197,23,2,,1,194,4,314,3,1193,1899
Mauritius,196,10,7,,,189,1,154,6,,
Faeroe Islands,181,2,,,93,88,2,3704,,4800,98234
Sri Lanka,159,,5,1,25,129,5,7,0.2,,
Georgia,156,1,1,1,28,127,6,39,0.3,,
Venezuela,153,,7,,52,94,6,5,0.2,1779,63
DRC,148,,16,,3,129,,2,0.2,,
Kyrgyzstan,144,14,1,,9,134,5,22,0.2,9618,1474
Martinique,143,,3,,27,113,18,381,8,,
Bolivia,139,7,10,1,1,128,3,12,0.9,591,51
Brunei,135,1,1,,66,68,3,309,2,7801,17832
Guadeloupe,130,,7,,24,99,14,325,17,,
Mayotte,128,,2,,10,116,3,469,7,479,1756
Kenya,122,,4,,4,114,2,2,0.07,2201,41
Isle of Man,121,7,1,,,120,,1423,12,1292,15194
Niger,120,,5,,,115,,5,0.2,3729,154
Cambodia,114,,,,50,64,1,7,,5768,345
Trinidad and Tobago,100,2,6,,1,93,,71,4,722,516
Paraguay,96,4,3,,12,81,2,13,0.4,116,16
Gibraltar,95,,,,46,49,,2820,,1136,33718
Rwanda,89,,,,,89,,7,,,
Liechtenstein,75,,,,,75,,1967,,900,23605
Guinea,73,,,,2,71,,6,,,
Bangladesh,70,9,8,2,30,32,1,0.4,0.05,2086,13
Madagascar,70,,,,,70,6,3,,,
Monaco,64,,1,,3,60,2,1631,25,,
Aruba,62,,,,1,61,,581,,836,7830
French Guiana,57,,,,22,35,1,191,,,
El Salvador,56,10,3,,,53,4,9,0.5,,
Jamaica,53,,3,,7,43,,18,1,442,149
Barbados,51,,,,,51,,177,,382,1329
Guatemala,50,,1,,12,37,1,3,0.06,,
Djibouti,49,,,,8,41,,50,,,
Uganda,48,,,,,48,,1,,,
Macao,43,1,,,10,33,,66,,,
Togo,40,,3,,17,20,,5,0.4,,
Mali,39,,3,,,36,,2,0.1,,
Zambia,39,,1,,2,36,,2,0.05,619,34
French Polynesia,39,,,,,39,1,139,,554,1972
Ethiopia,38,3,,,3,35,2,0.3,,1222,11
Bermuda,35,,,,14,21,,562,,272,4368
Cayman Islands,29,,1,,1,27,,441,15,265,4032
Bahamas,24,,3,,,21,1,61,8,,
Guyana,23,,4,,,19,,29,5,83,106
Sint Maarten,23,,4,,6,13,,536,93,82,1912
Congo,22,,2,,2,18,,4,0.4,,
Saint Martin,22,,1,,2,19,,569,26,18,466
Eritrea,22,,,,,22,,6,,,
Gabon,21,,1,,1,19,,9,0.4,,
Myanmar,20,,1,,,19,,0.4,0.02,,
Tanzania,20,,1,,3,16,,0.3,0.02,,
Maldives,19,,,,13,6,,35,,,
Haiti,18,,,,1,17,,2,,200,18
New Caledonia,18,,,,1,17,,63,,1390,4869
Libya,17,,1,,,16,,2,0.1,131,19
Syria,16,,2,,2,12,,0.9,0.1,,
Benin,16,,,,2,14,,1,,,
Equatorial Guinea,16,,,,1,15,,11,,,
Antigua and Barbuda,15,,,,,15,1,153,,40,408
Guinea-Bissau,15,,,,,15,,8,,,
Dominica,14,,,,,14,,194,,,
Mongolia,14,,,,2,12,,4,,,
Namibia,14,,,,3,11,,6,,301,118
Saint Lucia,13,,,,1,12,,71,,,
Fiji,12,5,,,,12,,13,,,
Grenada,12,,,,,12,2,107,,45,400
Curaçao,11,,1,,3,7,,67,6,,
Sudan,10,,2,,2,6,,0.2,0.05,,
Suriname,10,,1,,,9,,17,2,,
Greenland,10,,,,3,7,,176,,542,9547
Laos,10,,,,,10,,1,,437,60
Mozambique,10,,,,,10,,0.3,,,
Seychelles,10,,,,,10,,102,,,
MS Zaandam,9,,2,,,7,,,,,
Zimbabwe,9,,1,,,8,,0.6,0.07,316,21
Nepal,9,3,,,1,8,,0.3,,1356,47
Chad,9,1,,,,9,,0.5,,,
Saint Kitts and Nevis,9,,,,,9,,169,,113,2124
Eswatini,9,,,,,9,,8,,,
Angola,8,,2,,1,5,,0.2,0.06,,
CAR,8,,,,,8,,2,,,
Cabo Verde,7,1,1,,,6,,13,2,,
Vatican City,7,,,,,7,,8739,,,
Liberia,7,,,,,7,,1,,,
St. Vincent Grenadines,7,,,,1,6,,63,,,
Somalia,7,,,,1,6,,0.4,,,
Mauritania,6,,1,,2,3,,1,0.2,,
Montserrat,6,,,,,6,,1202,,,
St. Barth,6,,,,1,5,,607,,,
Nicaragua,5,,1,,,4,,0.8,0.2,,
Bhutan,5,,,,2,3,,6,,,
Turks and Caicos,5,,,,,5,,129,,,
Botswana,4,,1,,,3,,2,0.4,175,74
Gambia,4,,1,,2,1,,2,0.4,,
Belize,4,,,,,4,,10,,25,63
Anguilla,3,,,,,3,,200,,,
British Virgin Islands,3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,2,0.2
Malawi,3,,,,,3,,0.2,,,
Caribbean Netherlands,2,,,,,2,,76,,10,381
Sierra Leone,2,,,,,2,,0.3,,2,0.3
Falkland Islands,1,,,,,1,,287,,,
Papua New Guinea,1,,,,,1,,0.1,,,
Timor-Leste,1,,,,,1,,0.8,,,
